FrameCounter,Timestamp,LedState,Region0G,Region1R
12452,6133.073472,2,0.0397743362588081,0.0352900015949702
12453,6133.090144,1,0.246654435868194,0.118760450913506
12454,6133.106816,2,0.0398294299456225,0.0352570731782611
12455,6133.123488,1,0.246409819898738,0.118678129871734
12456,6133.140128,2,0.0397346688043017,0.0352354639047957
12457,6133.1568,1,0.246540942873356,0.118639027376891
12458,6133.173472,2,0.0397974756072702,0.0353795257278981
12459,6133.190144,1,0.246401004908848,0.118653433559202
12460,6133.206816,2,0.039728057561884,0.0351603459541781
12461,6133.223456,1,0.246131045843457,0.118634911324803
12462,6133.240128,2,0.0397071219608945,0.0352488410740838
12463,6133.2568,1,0.246181732035326,0.118482617397523
12464,6133.273472,2,0.039686186359905,0.035217970683419
12465,6133.290144,1,0.24619826014137,0.118507313710055
12466,6133.306816,2,0.0397313631830929,0.0352344348917736
12467,6133.323456,1,0.24624894633324,0.118515545814232
12468,6133.340128,2,0.0396916957285865,0.0352015064750644
12469,6133.3568,1,0.246237927595877,0.118546416204897
12470,6133.373472,2,0.0397710306375992,0.0351757811495104
12471,6133.390144,1,0.246171815171699,0.118399267342728
12472,6133.406784,2,0.0396994088447405,0.0351541718760451
12473,6133.423456,1,0.246012043479938,0.11848570443659
12474,6133.440128,2,0.0396410095367172,0.0352385509438622
12475,6133.4568,1,0.245909569222463,0.118469240228235
12476,6133.473472,2,0.0397534006578186,0.0352786824517264
12477,6133.490112,1,0.245993311626421,0.118534068048631
12478,6133.506784,2,0.0396828807386962,0.0354361214441169
12479,6133.523456,1,0.246208177004997,0.118740899666085
12480,6133.540128,2,0.039735770678038,0.0353959899362526
12481,6133.5568,1,0.246315058757417,0.118799553408348
12482,6133.57344,2,0.039735770678038,0.0354453825613163
12483,6133.590112,1,0.246955247398201,0.118934354114251
12484,6133.606784,2,0.0398823198849644,0.0355554869546874
12485,6133.623456,1,0.247514999256235,0.119298624724096
12486,6133.640128,2,0.0402492438391485,0.0359917884760832
12487,6133.6568,1,0.247556870458214,0.119214245656279
12488,6133.673472,2,0.0399693679101312,0.0356923456866347
12489,6133.690112,1,0.247593232291512,0.119459150755553
12490,6133.706784,2,0.0400156466070553,0.0358569877701802
12491,6133.723456,1,0.247713336528767,0.119440628521154
12492,6133.740128,2,0.040022257849473,0.0357252741033438
12493,6133.756768,1,0.248533130588566,0.11972463611527
12494,6133.77344,2,0.0399936091323295,0.0357283611424103
12495,6133.790112,1,0.24851109311384,0.119746245388735
12496,6133.806784,2,0.0400520084403528,0.0360031076193269
12497,6133.823456,1,0.24842514696241,0.119918090563436
12498,6133.840096,2,0.0401511770766188,0.035984585384928
12499,6133.8568,1,0.248698411649009,0.11992014858948
12500,6133.87344,2,0.0399792847737578,0.0361512854945179
